订单ID	用户ID	国家	省份	城市	区县	订单金额
339487	68024	1	6	76	695	132
339488	68024	1	6	76	695	273
339489	24384	1	18	246	2085	135
339490	39455	1	8	114	991	338
339491	16475	1	6	80	748	63
339492	125441	1	11	156	1322	84
339493	113335	1	25	321	2707	111
339494	206148	1	6	76	699	86
339495	79275	1	32	394	3336	223
339496	46369	1	7	97	854	90
339497	183801	1	6	76	696	127
339498	73056	1	29	357	3042	119
339499	56212	1	16	222	1875	535
339500	181093	1	6	76	695	56
339501	9278	1	18	247	2092	81
339502	206074	1	14	210	1763	50
339503	231897	1	10	139	1109	56
339504	125331	1	4	57	559	284
339505	32748	1	17	240	2035	50
339506	230772	1	16	221	1869	447
339507	78558	1	27	343	2925	459
339508	185451	1	6	79	729	81
339509	60994	1	11	163	1393	33
339510	152955	1	6	80	747	70
339511	225037	1	31	385	3249	69
339512	18564	1	10	142	1158	100
339513	32748	1	26	338	2877	50
339514	127278	1	31	390	3297	593
339515	127278	1	31	390	3297	501
339516	618	1	14	199	1661	142
339517	109096	1	7	98	872	187
339518	71660	1	13	180	1554	200
339519	46803	1	8	115	992	92
339520	190910	1	31	383	3234	174
339521	160230	1	13	181	1558	1037
339522	32748	1	10	138	1080	50
339523	84398	1	6	83	764	411
